start,ar,au,be,ch,eu,jp,nz,pl,ua,us
,:ar:,:au:,:be:,:ch:,:eu:,:jp:,:nz:,:pl:,:ua:,:us:
2023-08-16,,,,75,,,,,1,
2023-07-28,,,9,,9,,,,,
2023-07-21,,,,,,,16,,,
2023-07-20,,33,17,,17,,,,,
2023-07-05,,,,,,,,,14,
2023-07-04,,3,,,,,,,,
2023-07-01,,,,,,,,,892,
2023-06-28,,,,94,,,,,,
2023-06-24,,1,,,,,,,,
2023-06-23,,,93,,93,,,,,
2023-06-15,,,,,,,,,,6
2023-06-11,,,,,,,,,260,
2023-06-10,,53,,,,,,,,
2023-06-08,,,,,,,,,,6
2023-06-07,,,,1,,,,,,
2023-06-05,,,9,,9,,,,,
2023-05-30,,,2,,2,,,5,,
2023-05-27,,,,,,,,,396,
2023-05-26,,,,,,90,,,,
2023-05-19,,23,,,,,,,,69
2023-05-16,,,,,,,,,2,2
2023-05-12,,,,,,,,,1444,2
2023-05-10,,,,,,,,3,,
2023-05-05,,,,1,,,21,,,
2023-04-24,,,1,,1,,,,,
2023-04-22,,,,,,,,,772,
2023-04-20,,,,2,,,,,,
2023-04-15,,,,,,,,,1191,
2023-04-14,,,,,,,,,,2
2023-04-13,,,2,,2,,,,,
2023-04-12,,,,,,,,,,11
2023-04-10,,,,,,,,,,2
2023-04-01,,,,,,,,,1162,
2023-03-31,,6,,,,,25,,,
2023-03-30,,,,,,,,,,2
2023-03-29,,,,75,,,,,,6
2023-03-23,,,,,,,,,1,
2023-03-18,,,,,,,,,607,
2023-03-17,,,,,,,,,2,
2023-03-14,,,189,,189,,,,,
2023-03-10,,,,,,,,,476,
2023-03-07,,,4,,4,,,,,
2023-03-06,,,,,,,,,,1
2023-03-02,,,,105,,,,,,
2023-02-28,,,3,,3,114,,,,
2023-02-27,,,,,,,,,,78
2023-02-26,,,,,,,,,613,
2023-02-25,,,114,,114,,,,,
2023-02-24,,129,,,,,87,,,6
2023-02-19,,,,,,,,,616,
2023-02-15,,,,3,,,,,,
2023-02-12,,,,,,,,,388,
2023-02-05,,,,,,,,,396,
2023-01-28,,,,,,,,,321,
2023-01-27,,,,,,30,,,,
2023-01-25,,,,142,,,,,,
2023-01-23,,,,,,,,,44,
2023-01-15,,,,,,,,,372,
2023-01-07,,,,,,,,,135,
2022-12-21,,,,186,,,,,,
2022-12-16,,,169,,169,,,,,9
2022-12-13,,,,,,,23,,,
2022-12-12,,,3,,3,,,,,
2022-12-10,,7,,,,,,,,
2022-12-08,,,,,,,,,,10
2022-12-06,,,3,,3,,,,,
2022-12-03,,1,,,,,,,,
2022-11-22,,,,,,,17,,,
2022-11-14,,,8,,8,,,,,
2022-11-01,,,,,,,44,,1,
2022-10-29,,,,,,,,1,,
2022-10-27,,,,,,,,2,,
2022-10-19,,,,,,,,,5035,
2022-10-14,,,1,,1,,,,,
2022-10-12,,,,35,,,224,,3,
2022-10-07,,,,,,71,,,,
2022-10-06,,,33,,33,,,,,
2022-09-30,,17,,,,,,,,57
2022-09-28,,,,,,,19,,,
2022-09-16,,1,,,,,,,,
2022-09-15,,,496,,496,,,,1,
2022-09-12,,,1,,1,,,,,
2022-09-09,,,,3,,,,,,
2022-09-07,,,,,,,,,1178,
2022-09-01,,,3,,3,,,,,
2022-08-23,,,,,,,7,,,
2022-08-17,,,,2,,,,,,
2022-08-04,,,2,,2,,,,,
2022-08-03,,1,,1,,,,,,
2022-08-02,,,,,,,66,,,
2022-08-01,,,2,,2,,,,,
2022-07-29,,,,52,,,,,,
2022-07-27,,,1,,1,,,,,
2022-07-21,,,40,,40,,,,,
2022-07-05,,,,,,62,,,,
2022-07-01,,16,,,,,,,,
2022-06-30,,,,,,,,,,8
2022-06-29,,,,9,,,,,,
2022-06-10,,,,172,,,,,,
2022-06-09,,,,,,,,,1047,
2022-06-08,,,,,,,104,,,
2022-06-07,,,,,,2,,,,
2022-06-06,,,,,,,,,,66
2022-06-03,,,59,,59,,,,,
2022-05-24,,,,,,,,,9,
2022-05-18,,27,,,,,,,,
2022-05-17,,,,,,,1,,,
2022-05-13,,,,,,,,1,,
2022-05-11,,,,,,,8,,,
2022-05-10,,,,,,11,,,,
2022-05-04,,78,,2,,,,,,
2022-05-03,,,,,,,198,,,
2022-04-26,,,,,,,,16,,
2022-04-21,,146,2,,2,,,,,
2022-04-20,,,,,,,18,,,
2022-04-14,,14,,,,,,,,
2022-04-13,,,,58,,,,,,
2022-04-12,,,,,,411,,,,
2022-04-08,,,26,,26,,,,,
2022-04-07,,,,,,,,,,91
2022-04-06,,63,,,,,,,,
2022-04-05,,,,,,,29,,,
2022-04-01,,,,,,9,,,,
2022-03-30,,25,,,,,,,,
2022-03-29,,,,,,,,,1,
2022-03-26,,2,,,,,,,,
2022-03-25,,24,,93,,25,,,,
2022-03-18,,12,,,,24,455,,,
2022-03-16,,,,182,,,,,,
2022-03-15,,,8,,8,17,,,,
2022-03-14,,33,1,,1,,,,,3
2022-03-11,,,12,,12,,,,,
2022-03-09,,,3,,3,,,,,81
2022-03-08,,17,,1,,23,,,,
2022-03-07,1,,,,,,,,,
2022-03-04,,1,,174,,,,,,
2022-03-03,,7,,,,24,,,,53
2022-03-01,,,,,,9,,,,
2022-02-28,,5,6,3,6,,,,,
2022-02-27,,2,,,,,,,,
2022-02-26,,351,,,,5,,,,
2022-02-25,,37,76,363,76,,,,,
2022-02-24,,,,,,,,,,96
2022-02-23,,,9,,9,,,,,
2022-02-22,,,,,,,,,,6
