name,icon,start,end,origin,authority,sourceurl
"LLC “WOODMANMEBEL""",![Company](https://w7.pngwing.com/pngs/38/685/png-transparent-computer-icons-company-youtube-business-corporation-youtube-angle-building-company.png),2020-01-07,2022-12-30,as,Asian Development Bank,[Quelle](https://lnadbg4.adb.org/oga0009p.nsf/alldocs/AANA-AAFBDE?OpenDocument)
MR. NIKOLAI GEORGIEVITCH OBRADOVITCH,![Company](https://w7.pngwing.com/pngs/38/685/png-transparent-computer-icons-company-youtube-business-corporation-youtube-angle-building-company.png),2019-09-26,,as,Asian Development Bank,[Quelle](https://lnadbg4.adb.org/oga0009p.nsf/alldocs/AANA-AAFBDE?OpenDocument)
OOO RBC CENTER (CURRENTLY KNOWN AS OOO ARMADA CENTER,![Company](https://w7.pngwing.com/pngs/38/685/png-transparent-computer-icons-company-youtube-business-corporation-youtube-angle-building-company.png),2014-06-02,,as,Asian Development Bank,[Quelle](https://lnadbg4.adb.org/oga0009p.nsf/alldocs/AANA-AAFBDE?OpenDocument)
OOO RBC CENTER (CURRENTLY KNOWN AS OOO ARMADA CENTER,![Company](https://w7.pngwing.com/pngs/38/685/png-transparent-computer-icons-company-youtube-business-corporation-youtube-angle-building-company.png),2014-05-02,,af,African Development Bank Group,[Quelle](https://www.afdb.org/en/projects-operations/debarment-and-sanctions-procedures)
"LLC “WOODMANMEBEL""",![Company](https://w7.pngwing.com/pngs/38/685/png-transparent-computer-icons-company-youtube-business-corporation-youtube-angle-building-company.png),2019-12-31,2022-12-30,af,African Development Bank Group,[Quelle](https://www.afdb.org/en/projects-operations/debarment-and-sanctions-procedures)
Ayrat Nasimovich,![Person](https://banner2.cleanpng.com/20180426/gkw/kisspng-user-computer-icons-download-person-icon-5ae1dbfbb675d7.5784016215247513557474.jpg),2016-08-03,,ar,:ar: Argentinien | Ministry of Justice and Human Rights,[Quelle](https://repet.jus.gob.ar/)
Iullia GILFANOV Iuliia GILFANOVA Yulia GILFANOVA Yuliya Raisovna GILFANOVA,![Person](https://banner2.cleanpng.com/20180426/gkw/kisspng-user-computer-icons-download-person-icon-5ae1dbfbb675d7.5784016215247513557474.jpg),2020-12-21,,ar,:ar: Argentinien | Ministry of Justice and Human Rights,[Quelle](https://repet.jus.gob.ar/)
Магомед Магомедзакирович,![Person](https://banner2.cleanpng.com/20180426/gkw/kisspng-user-computer-icons-download-person-icon-5ae1dbfbb675d7.5784016215247513557474.jpg),2015-10-02,,ar,:ar: Argentinien | Ministry of Justice and Human Rights,[Quelle](https://repet.jus.gob.ar/)
Lava,![Person](https://banner2.cleanpng.com/20180426/gkw/kisspng-user-computer-icons-download-person-icon-5ae1dbfbb675d7.5784016215247513557474.jpg),2017-07-20,,ar,:ar: Argentinien | Ministry of Justice and Human Rights,[Quelle](https://repet.jus.gob.ar/)
Рустам Магомедович,![Person](https://banner2.cleanpng.com/20180426/gkw/kisspng-user-computer-icons-download-person-icon-5ae1dbfbb675d7.5784016215247513557474.jpg),2016-12-12,,ar,:ar: Argentinien | Ministry of Justice and Human Rights,[Quelle](https://repet.jus.gob.ar/)
