name,category_en,category_de,start,end,authority,sourceurl
Sergey Bezrukov Sergej Vitalevic Bezrukov Bezrukov Sergei Vitalevich Sergey Vitalyevich Bezrukov Bezrukov Sergey Vitalyevich Sergey Vitalyevich Bezrukov Sergej Vitaljevitj Bezrukov,Person,Person,2022-07-29,,:ch: CH,[URL](https://www.seco.admin.ch/seco/en/home/Aussenwirtschaftspolitik_Wirtschaftliche_Zusammenarbeit/Wirtschaftsbeziehungen/exportkontrollen-und-sanktionen/sanktionen-embargos.html)
Andrej Vladimirovic Sevcik Andrei Vladimirovich Shevchik Andrej Vladimirovitj Sjevtjik Shevchik Andrei Vladimirovich Andrei Vladimirovich Shevchik,Person,Person,2022-07-29,,:ch: CH,[URL](https://www.seco.admin.ch/seco/en/home/Aussenwirtschaftspolitik_Wirtschaftliche_Zusammenarbeit/Wirtschaftsbeziehungen/exportkontrollen-und-sanktionen/sanktionen-embargos.html)
Urij Aleksandrovic Burlacko Yury Alexandrovich Burlachko Yury Alexandrovich Burlachko Burlachko Yury Alexandrovich Burlachko Yurii Alexandrovich Jurij Aleksandrovitj Burlatjko,Person,Person,2022-07-29,,:ch: CH,[URL](https://www.seco.admin.ch/seco/en/home/Aussenwirtschaftspolitik_Wirtschaftliche_Zusammenarbeit/Wirtschaftsbeziehungen/exportkontrollen-und-sanktionen/sanktionen-embargos.html)
Fwaz Mykhayyl Jrjs Gerges Fawaz Mikhail Fawaz Mikhail Gerges Fawaz Mikhail Gerges,Person,Person,2022-07-29,,:ch: CH,[URL](https://www.seco.admin.ch/seco/en/home/Aussenwirtschaftspolitik_Wirtschaftliche_Zusammenarbeit/Wirtschaftsbeziehungen/exportkontrollen-und-sanktionen/sanktionen-embargos.html)
Vladimir Mashkov Vladimir Lvovic Maskov Vladimir Lvovich Mashkov Mashkov Vladimir Lvovich Vladimir Lvovich Mashkov Vladimir Lvovitj Masjkov Mashkov Vladimir Lvovich,Person,Person,2022-07-29,,:ch: CH,[URL](https://www.seco.admin.ch/seco/en/home/Aussenwirtschaftspolitik_Wirtschaftliche_Zusammenarbeit/Wirtschaftsbeziehungen/exportkontrollen-und-sanktionen/sanktionen-embargos.html)
Natalya Valeryevna Burlinova Natala Valerevna Burlinova Burlinova Natalya Valeryevna,Person,Person,2022-07-29,,:us: US,[URL](https://www.treasury.gov/resource-center/sanctions/Pages/default.aspx)
Andrei Kozitsyn Andrej Anatolevic Kozicyn Andrej Anatolevic Kozicyn Kozitsyn Andrei Anatolevich Andrey Anatolyevich Kozitsyn Kozitsyn Andrei Anatolyevich Andrej Anatoljevitj Kozitsyn Andrey Anatolyevich Kozitsyn Andrey Anatol Yevich Kozitsyn,Person,Person,2022-07-29,,:ch: CH,[URL](https://www.seco.admin.ch/seco/en/home/Aussenwirtschaftspolitik_Wirtschaftliche_Zusammenarbeit/Wirtschaftsbeziehungen/exportkontrollen-und-sanktionen/sanktionen-embargos.html)
Maiya Mayya Tokareva Maya Nikolaevna Bolotova Maja Nikolaevna Tokareva Maja Nikolaevna Bolotova Maja Nikolaevna Bolotova Maya Nikolaevna Bolotova Maiya Nikolaevna Bolotova Maiya Nikolaevna Tokareva Maiya Nikolaevna Tokareva Mayya Nikolaevna Bolotova Maija Nikolaevna Bolotova Tokareva Maiya Nikolaevna Tokareva Bolotova Maiya Nikolaevna,Person,Person,2022-07-29,,:ch: CH,[URL](https://www.seco.admin.ch/seco/en/home/Aussenwirtschaftspolitik_Wirtschaftliche_Zusammenarbeit/Wirtschaftsbeziehungen/exportkontrollen-und-sanktionen/sanktionen-embargos.html)
Urij Viktorovic Asin Yashin Yuri Viktorovich Yuri Viktorovich Yashin Yuriy Viktorovich Yashin Yuriy Viktorovich Yashin Jurij Viktorovitj Jasjin Yashin Yuriy Viktorovich,Person,Person,2022-07-29,,:ch: CH,[URL](https://www.seco.admin.ch/seco/en/home/Aussenwirtschaftspolitik_Wirtschaftliche_Zusammenarbeit/Wirtschaftsbeziehungen/exportkontrollen-und-sanktionen/sanktionen-embargos.html)
Urij Nikolaevic Grehov Yuri Nikolaevich Grekhov Yuri Nikolaevich Grekhov Grekhov Yuri Nikolaevich Jurij Nikolajevitj Grechov,Person,Person,2022-07-29,,:ch: CH,[URL](https://www.seco.admin.ch/seco/en/home/Aussenwirtschaftspolitik_Wirtschaftliche_Zusammenarbeit/Wirtschaftsbeziehungen/exportkontrollen-und-sanktionen/sanktionen-embargos.html)
