start,sanction_id
2014-03-31,62
2014-04-30,65
2014-05-31,43
2014-06-30,5
2014-07-31,66
2014-08-31,49
2014-09-30,47
2014-10-31,21
2014-11-30,34
2014-12-31,35
2015-01-31,2
2015-02-28,15
2015-03-31,22
2015-04-30,2
2015-05-31,0
2015-06-30,0
2015-07-31,97
2015-08-31,1
2015-09-30,19
2015-10-31,54
2015-11-30,5
2015-12-31,254
2016-01-31,5
2016-02-29,2
2016-03-31,0
2016-04-30,0
2016-05-31,0
2016-06-30,0
2016-07-31,6
2016-08-31,14
2016-09-30,259
2016-10-31,2
2016-11-30,18
2016-12-31,214
2017-01-31,12
2017-02-28,0
2017-03-31,5
2017-04-30,0
2017-05-31,122
2017-06-30,87
2017-07-31,19
2017-08-31,47
2017-09-30,7
2017-10-31,215
2017-11-30,5
2017-12-31,30
2018-01-31,52
2018-02-28,19
2018-03-31,16
2018-04-30,34
2018-05-31,4
2018-06-30,769
2018-07-31,7
2018-08-31,21
2018-09-30,14
2018-10-31,0
2018-11-30,24
2018-12-31,26
2019-01-31,12
2019-02-28,0
2019-03-31,387
2019-04-30,7
2019-05-31,5
2019-06-30,2
2019-07-31,0
2019-08-31,1
2019-09-30,14
2019-10-31,0
2019-11-30,0
2019-12-31,23
2020-01-31,16
2020-02-29,9
2020-03-31,114
2020-04-30,4
2020-05-31,350
2020-06-30,51
2020-07-31,36
2020-08-31,8
2020-09-30,56
2020-10-31,114
2020-11-30,2
2020-12-31,20
2021-01-31,4
2021-02-28,34
2021-03-31,150
2021-04-30,67
2021-05-31,358
2021-06-30,4
2021-07-31,18
2021-08-31,26
2021-09-30,11
2021-10-31,16
2021-11-30,3
2021-12-31,43
2022-01-31,22
2022-02-28,1165
2022-03-31,2740
2022-04-30,1181
2022-05-31,462
2022-06-30,741
2022-07-31,310
2022-08-31,126
2022-09-30,1617
2022-10-31,438
2022-11-30,144
2022-12-31,191
